Disciplina;Turma;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;TamTurma
PLANTAS I;A;4;5;2;3;5;5;4;3;4;5;4;200
PLANTAS I;A;4;3;2;3;4;3;2;3;4;3;3;200
PLANTAS I;A;5;3;4;4;4;4;4;4,1;3,6;4;3;200
PLANTAS I;A;5;4,5;1;1;4,5;3;2;3;4;3;3;200
PLANTAS I;A;4;3;3;4;4;3;2;3;4;5;2;200
PLANTAS I;A;NA;5;5;4;4;3;2;3;4;1,8;3;200
PLANTAS I;A;NA;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;NA;4;5;5;5;5;5;4;5;200
PLANTAS I;A;NA;5;NA;4;4;5;5;5;5;NA;5;200
PLANTAS I;A;NA;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;NA;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;NA;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;NA;5;5;5;5;5;5;4;5;200
PLANTAS I;A;4;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;5;5;5;5;5;5;4,8;5;5;200
PLANTAS I;A;5;5;5;2,5;5;5;5;2,1;5;1,5;5;200
PLANTAS I;A;2,1;5;5;2,7;5;5;5;5;5;2,2;5;200
PLANTAS I;A;5;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;4;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;5;5;5;3;1,5;5;4;5;4;5;5;200
PLANTAS I;A;5;5;5;5;5;5;5;5;5;3;5;200
PLANTAS I;A;4,5;5;5;4,6;4;5;5;5;5;NA;4;200
PLANTAS I;A;4;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;A;NA;5;5;5;5;5;5;5;5;5;5;200
PLANTAS I;B;5;5;NA;4;5;5;5;5;5;4;5;100
PLANTAS I;B;NA;5;NA;4;4;5;5;5;5;NA;5;100
